City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,pinotepa nacional,16.3167,-98.0167,31.36,59,64,2.97,MX,2023-7-25
158,thompson,55.7435,-97.8558,23.09,40,40,4.63,CA,2023-7-25
159,ilulissat,69.2167,-51.1,3.01,100,100,2.06,GL,2023-7-25
160,posto fiscal rolim de moura,-13.0833,-62.2667,26.15,40,0,1.0,BR,2023-7-25
161,gillette,44.2911,-105.5022,33.51,18,0,4.12,US,2023-7-25
162,georgetown,5.4112,100.3354,26.96,89,20,1.03,MY,2023-7-25
163,hasaki,35.7333,140.8333,29.22,80,79,3.54,JP,2023-7-25
164,freetown,8.484,-13.2299,24.7,90,100,2.1,SL,2023-7-25
165,la'ie,21.6477,-157.9253,31.98,70,51,6.79,US,2023-7-25
166,atafu village,-8.5421,-172.5159,29.09,72,10,8.79,TK,2023-7-25
167,rio grande,-32.035,-52.0986,16.06,90,100,6.97,BR,2023-7-25
168,west island,-12.1568,96.8225,24.99,69,100,9.77,CC,2023-7-25
169,jining,35.405,116.5814,27.52,79,6,2.36,CN,2023-7-25
170,brak,27.5496,14.2714,33.07,12,0,4.27,LY,2023-7-25
171,afaahiti,-17.75,-149.2833,27.93,81,0,6.88,PF,2023-7-25
172,mossel bay,-34.1831,22.146,12.96,68,4,1.17,ZA,2023-7-25
173,yauya,-8.9833,-77.3,13.98,42,13,2.94,PE,2023-7-25
174,antofagasta,-23.65,-70.4,17.6,86,34,1.98,CL,2023-7-25
175,holualoa,19.6228,-155.9522,26.54,82,40,4.12,US,2023-7-25
176,anna regina,7.2644,-58.5077,27.21,80,32,3.68,GY,2023-7-25
177,aileu,-8.7281,125.5664,16.09,73,20,1.14,TL,2023-7-25
178,invercargill,-46.4,168.35,7.19,79,72,5.2,NZ,2023-7-25
179,moose jaw,50.4001,-105.5344,35.15,10,20,8.75,CA,2023-7-25
180,puerto natales,-51.7236,-72.4875,-2.34,88,23,2.76,CL,2023-7-25
181,lensk,60.7253,114.9278,22.07,62,11,1.83,RU,2023-7-25
182,papao,-17.75,-149.55,28.82,84,4,7.5,PF,2023-7-25
183,kailua-kona,19.6406,-155.9956,28.61,80,40,4.12,US,2023-7-25
184,colonia,50.9333,6.95,14.34,79,0,1.54,DE,2023-7-25
185,nuuk,64.1835,-51.7216,12.34,58,20,5.66,GL,2023-7-25
186,itaituba,-4.2761,-55.9836,27.12,48,5,0.24,BR,2023-7-25
187,flying fish cove,-10.4217,105.6791,23.82,94,100,3.6,CX,2023-7-25
188,saint-francois,46.4154,3.9054,13.15,94,0,1.54,FR,2023-7-25
189,las lomitas,-24.7096,-60.593,17.18,68,100,1.69,AR,2023-7-25
190,choibalsan,48.0667,114.5,21.42,56,80,2.41,MN,2023-7-25
191,vorgashor,67.5833,63.95,15.53,86,99,3.3,RU,2023-7-25
192,melfort,52.8667,-104.6177,28.07,51,58,3.6,CA,2023-7-25
193,santa terezinha,-29.9002,-50.0904,17.18,96,95,1.0,BR,2023-7-25
194,makoua,0.0069,15.6333,24.56,75,99,1.64,CG,2023-7-25
195,mitsamiouli,-11.3847,43.2844,25.04,72,49,4.89,KM,2023-7-25
196,buncrana,55.1333,-7.45,10.81,94,61,1.91,IE,2023-7-25
197,igarka,67.4667,86.5833,17.17,75,15,3.11,RU,2023-7-25
198,champerico,14.3,-91.9167,36.3,69,64,5.01,GT,2023-7-25
199,miyako,39.6367,141.9525,28.13,67,4,0.2,JP,2023-7-25
200,hamilton,39.1834,-84.5333,31.91,55,0,3.09,US,2023-7-25
201,nouadhibou,20.931,-17.0347,21.99,78,56,7.72,MR,2023-7-25
202,queenstown,-31.8976,26.8753,9.74,18,100,2.16,ZA,2023-7-25
203,troitsk,54.0979,61.5773,18.01,63,100,2.26,RU,2023-7-25
204,benguela,-12.5763,13.4055,21.04,79,97,2.57,AO,2023-7-25
205,filey,54.21,-0.2892,12.72,90,99,2.24,GB,2023-7-25
206,nemuro,43.3236,145.575,17.29,97,89,0.25,JP,2023-7-25
207,moussoro,13.6408,16.4901,32.29,37,100,5.63,TD,2023-7-25
208,keflavik,64.0049,-22.5624,13.95,76,100,3.6,IS,2023-7-25
209,askoy,60.4092,5.226,12.79,50,0,1.54,NO,2023-7-25
210,pirane,-25.7324,-59.1088,16.77,74,100,1.41,AR,2023-7-25
211,prince rupert,54.3161,-130.3201,15.05,90,100,3.09,CA,2023-7-25
212,faya-largeau,17.9257,19.1043,34.18,12,61,2.49,TD,2023-7-25
213,thinadhoo,0.5333,72.9333,28.07,78,100,5.71,MV,2023-7-25
214,puerto ayora,-0.7393,-90.3518,29.98,89,51,3.13,EC,2023-7-25
215,porto velho,-8.7619,-63.9039,30.03,58,0,1.03,BR,2023-7-25
216,boda,4.3189,17.4695,21.39,95,93,1.37,CF,2023-7-25
217,goundam,16.4145,-3.6708,32.32,43,55,2.77,ML,2023-7-25
218,brisas de zicatela,15.8369,-97.0419,31.29,55,75,3.09,MX,2023-7-25
219,chillicothe,39.3331,-82.9824,30.51,61,0,1.54,US,2023-7-25
220,paratinga,-12.6906,-43.1842,24.01,31,1,1.83,BR,2023-7-25
221,paita,-5.0892,-81.1144,22.45,78,79,8.86,PE,2023-7-25
222,celestun,20.8667,-90.4,29.73,72,51,8.77,MX,2023-7-25
223,lauro de freitas,-12.8944,-38.3272,26.01,78,20,2.57,BR,2023-7-25
224,st. john's,47.5649,-52.7093,20.66,83,40,3.09,CA,2023-7-25
225,utrik,11.2278,169.8474,28.37,80,74,7.64,MH,2023-7-25
226,balnearia,-31.0088,-62.6673,11.05,81,97,1.97,AR,2023-7-25
